馬名,日付,開催,天気,レース名,馬番,人気,着順,騎手,距離,状態,タイム
クインズベンチ,2021/01/19,大井,晴,C3五　六,9,13,14,吉井章,ダ1600,良,1:46.6
クインズベンチ,2020/09/10,大井,曇,C2八　C3一,4,6,9,今野忠成,ダ1600,稍,1:45.8
クインズベンチ,2020/08/19,大井,晴,C3一　二三,5,5,11,吉井章,ダ1400,良,1:29.6
クインズベンチ,2020/07/30,大井,曇,C3五　六,11,4,1,吉井章,ダ1600,稍,1:46.0
クインズベンチ,2020/07/09,大井,曇,C3三　四,7,7,9,吉井章,ダ1600,重,1:46.4
クインズベンチ,2020/06/26,大井,曇,C3一　二三,11,3,2,今野忠成,ダ1400,不,1:30.2
クインズベンチ,2020/06/02,大井,晴,C3三　四,9,4,3,吉井章,ダ1600,良,1:44.4
クインズベンチ,2020/05/20,大井,曇,C3三　四,2,5,6,今野忠成,ダ1600,不,1:46.5
クインズベンチ,2020/05/02,大井,晴,C3一　二三,10,12,8,吉井章,ダ1400,良,1:29.7
クインズベンチ,2020/04/08,大井,晴,C3三　四,3,12,12,吉井章,ダ1600,良,1:46.0
クインズベンチ,2019/12/26,大井,曇,C2七　八九,14,9,7,吉井章,ダ1600,重,1:46.8
クインズベンチ,2019/12/03,大井,晴,C2九　十11,4,7,8,吉井章,ダ1600,不,1:45.4
クインズベンチ,2019/11/11,大井,雨,C2七　八九,5,7,9,吉井章,ダ1600,稍,1:45.5
クインズベンチ,2019/10/15,大井,曇,C2十　11,4,5,5,吉井章,ダ1600,重,1:45.7
クインズベンチ,2019/09/30,大井,晴,C2七　八九,5,5,4,吉井章,ダ1600,良,1:45.1
クインズベンチ,2019/09/16,大井,曇,C2七　八九,3,6,12,吉井章,ダ1600,不,1:47.0
クインズベンチ,2019/08/25,大井,晴,C2七　八,10,6,6,吉井章,ダ1600,良,1:45.7
クインズベンチ,2019/08/16,大井,曇,C3一　二三,5,2,2,吉井章,ダ1600,不,1:45.5
クインズベンチ,2019/07/31,大井,晴,ネオ屋台村アメリカン,8,8,3,吉井章,ダ1600,稍,1:43.3
クインズベンチ,2019/07/10,大井,晴,投票コンシェルジュ賞,7,15,3,吉井章,ダ1600,稍,1:44.9
クインズベンチ,2019/06/27,大井,曇,C2七　八,4,12,11,吉井章,ダ1600,稍,1:46.8
クインズベンチ,2019/06/05,大井,曇,C2七　八九,4,13,12,小林拓未,ダ1400,良,1:33.1
クインズベンチ,2019/05/23,大井,晴,C2八　九十,15,16,16,山本聡紀,ダ1600,稍,1:46.7
クインズベンチ,2019/04/24,大井,曇,C2六　七八,9,16,13,山本聡紀,ダ1600,良,1:46.5
クインズベンチ,2019/04/12,大井,曇,C2十　1112,2,14,11,山本聡紀,ダ1400,重,1:32.1
クインズベンチ,2019/03/21,大井,曇,C2十　11,12,16,11,山本聡紀,ダ1200,良,1:17.6
クインズベンチ,2019/03/07,大井,曇,C2十　11,12,13,11,山本聡紀,ダ1200,不,1:17.2
クインズベンチ,2019/02/07,大井,晴,C2十　1112,5,15,11,山本聡紀,ダ1200,重,1:18.0
クインズベンチ,2019/01/23,大井,晴,C2九　十11,12,13,14,山本聡紀,ダ1200,良,1:18.8
クインズベンチ,2018/12/30,大井,晴,C211　12,16,14,14,和田譲治,ダ1200,良,1:18.7
クインズベンチ,2018/09/25,浦和,曇,3歳三,8,2,8,笠野雄大,ダ1400,稍,1:33.0
クインズベンチ,2018/09/06,浦和,晴,特選,4,3,6,笠野雄大,ダ1400,稍,1:32.9
クインズベンチ,2018/08/06,浦和,曇,3歳二,10,4,2,笠野雄大,ダ1400,良,1:31.3
クインズベンチ,2018/07/16,浦和,晴,3歳二,11,1,7,笠野雄大,ダ1400,良,1:32.6
クインズベンチ,2018/06/28,浦和,曇,3歳四,4,4,1,笠野雄大,ダ1400,稍,1:31.3
クインズベンチ,2018/05/30,浦和,曇,3歳四,7,9,4,和田譲治,ダ1400,良,1:33.1
クインズベンチ,2018/04/26,浦和,晴,3歳五,7,9,6,庄司大輔,ダ1400,重,1:35.0
クインズベンチ,2018/03/22,浦和,曇,3歳六,5,9,8,山本聡紀,ダ1400,重,1:35.5
クインズベンチ,2017/12/20,浦和,晴,2歳四,8,6,10,秋元耕成,ダ1400,稍,1:36.0
クインズベンチ,2017/11/24,浦和,晴,ドリームチャレンジ,3,5,2,矢野貴之,ダ800,不,0:50.5
マイネルアングリフ,2018/11/28,名古屋,晴,C19組,3,9,8,山田祥雄,ダ1400,良,1:34.7
マイネルアングリフ,2018/11/01,名古屋,晴,3歳12組,7,6,9,村上弘樹,ダ1400,良,1:34.2
マイネルアングリフ,2018/10/11,名古屋,曇,3歳10組,8,7,6,山田祥雄,ダ1400,稍,1:33.0
マイネルアングリフ,2018/09/27,名古屋,雨,3歳10組,8,2,6,山田祥雄,ダ1400,不,1:35.1
マイネルアングリフ,2018/08/30,名古屋,晴,3歳8組,2,4,3,山田祥雄,ダ1400,良,1:32.0
マイネルアングリフ,2018/08/09,名古屋,晴,3歳7組,5,5,3,丹羽克輝,ダ1400,良,1:33.8
マイネルアングリフ,2018/07/19,名古屋,晴,3歳8組,6,8,3,山田祥雄,ダ1400,良,1:31.4
マイネルアングリフ,2018/07/05,名古屋,雨,祝葵さん10日誕生日,3,6,7,山田祥雄,ダ1400,重,1:32.7
マイネルアングリフ,2018/05/24,名古屋,晴,3歳7組,1,5,4,山田祥雄,ダ1400,重,1:34.0
マイネルアングリフ,2018/05/03,名古屋,晴,3歳5組,3,5,5,山田祥雄,ダ1400,不,1:35.0
マイネルアングリフ,2018/04/20,名古屋,晴,3歳5組,3,3,3,山田祥雄,ダ1400,重,1:33.3
マイネルアングリフ,2018/04/13,名古屋,晴,3歳8組,4,2,3,村上弘樹,ダ800,良,0:52.0
マイネルアングリフ,2018/03/29,名古屋,晴,3歳6組,9,3,3,山田祥雄,ダ1400,良,1:32.7
マイネルアングリフ,2018/03/16,名古屋,雨,3歳6組,7,3,4,山田祥雄,ダ800,重,0:52.1
マイネルアングリフ,2018/01/30,川崎,晴,ジャニュアリーフラワ,5,9,8,丹内祐次,ダ1500,稍,1:40.3
アバロン,2019/04/17,名古屋,雨,C14組,8,3,7,横井将人,ダ1400,稍,1:36.2
アバロン,2019/04/10,名古屋,雨,C14組,6,5,6,横井将人,ダ1400,不,1:35.7
アバロン,2019/03/29,名古屋,晴,C5組,4,5,6,横井将人,ダ1400,良,1:34.2
アバロン,2019/02/20,船橋,晴,C3三　四,12,11,10,今野忠成,ダ1200,稍,1:18.1
アバロン,2019/01/17,船橋,晴,C3二　三,3,4,9,今野忠成,ダ1200,良,1:18.4
アバロン,2018/12/21,川崎,晴,3歳6,2,1,1,今野忠成,ダ1400,稍,1:33.9
アバロン,2018/12/14,船橋,晴,3歳五,2,3,6,今野忠成,ダ1200,重,1:19.2
アバロン,2017/11/07,門別,晴,2歳未勝利(未勝利),2,2,1,桑村真明,ダ1000,稍,1:02.5
アバロン,2017/11/01,門別,雨,2歳未勝利(未勝利),7,4,2,桑村真明,ダ1000,不,1:01.5
アバロン,2017/10/03,門別,曇,2歳未勝利(未勝利),6,1,3,桑村真明,ダ1000,稍,1:04.8
アバロン,2017/09/14,門別,曇,2歳新馬(新馬),8,2,5,桑村真明,ダ1000,重,1:03.3
ネップウクノイチ,2019/06/28,大井,曇,C2九　十11,12,5,2,早田秀治,ダ1200,稍,1:15.7
ネップウクノイチ,2019/06/07,大井,雨,C3一　二,8,10,2,早田秀治,ダ1200,重,1:15.9
ネップウクノイチ,2019/05/24,大井,晴,C3一　二,12,11,14,早田秀治,ダ1200,稍,1:16.6
ネップウクノイチ,2019/05/07,船橋,曇,C3　選抜牝馬,9,4,9,仲原大生,ダ1200,稍,1:19.0
ネップウクノイチ,2019/04/24,大井,曇,C3三　四,4,11,3,早田秀治,ダ1200,良,1:15.7
ネップウクノイチ,2019/04/11,大井,曇,C3三　四,7,9,15,早田秀治,ダ1200,重,1:18.1
ネップウクノイチ,2019/03/20,大井,晴,C3五　六,9,8,4,早田秀治,ダ1200,良,1:16.4
ネップウクノイチ,2019/03/06,大井,曇,C3五　六,6,6,12,早田秀治,ダ1200,不,1:17.1
ネップウクノイチ,2019/02/22,船橋,曇,C3　選抜馬,1,6,2,山崎良,ダ1000,稍,1:03.1
ネップウクノイチ,2018/12/05,大井,曇,3歳　150万,1,5,7,山崎良,ダ1200,良,1:17.4
ネップウクノイチ,2018/11/12,大井,曇,3歳　115万,13,4,3,山崎良,ダ1200,重,1:16.6
ネップウクノイチ,2018/10/29,大井,晴,目黒区記念,11,3,3,山崎良,ダ1600,稍,1:47.6
ネップウクノイチ,2018/10/10,大井,晴,3歳　130万,4,10,5,山崎良,ダ1400,良,1:32.2
ネップウクノイチ,2017/10/05,大井,曇,ひたちなかの海の恵み,1,2,3,的場文男,ダ1200,良,1:18.3
ネップウクノイチ,2017/09/15,大井,曇,2歳　新馬(新馬),6,6,7,的場文男,ダ1200,良,1:17.8
ホクトタキオン,2019/11/06,浦和,晴,C2八　九,4,12,12,秋元耕成,ダ1500,稍,1:39.8
ホクトタキオン,2019/10/09,浦和,晴,秩父龍勢賞,3,12,11,秋元耕成,ダ1500,稍,1:40.2
ホクトタキオン,2019/09/11,浦和,曇,世界へ響け四尺玉!鴻,4,10,10,秋元耕成,ダ1400,良,1:32.2
ホクトタキオン,2019/08/16,浦和,曇,あま?いくきくきくき,12,11,9,保園翔也,ダ1400,良,1:31.5
ホクトタキオン,2019/08/10,船橋,晴,千葉の海ウマみフェス,3,12,6,福原杏,ダ1500,良,1:39.7
ホクトタキオン,2019/07/25,浦和,曇,愛知のお肉を食べよう,11,10,10,岡部誠,ダ1500,良,1:40.1
ホクトタキオン,2019/07/01,浦和,雨,特選,3,11,9,秋元耕成,ダ1400,重,1:33.3
ホクトタキオン,2019/06/11,川崎,曇,夏椿特別,9,14,13,福原杏,ダ1500,重,1:42.0
ホクトタキオン,2019/05/27,浦和,晴,C2三　四,1,9,9,福原杏,ダ1500,良,1:38.5
ホクトタキオン,2019/04/30,浦和,雨,C2三　四,9,10,9,福原杏,ダ1500,不,1:40.5
ホクトタキオン,2019/04/16,船橋,晴,C2四　五,12,12,9,和田譲治,ダ1500,稍,1:40.6
ホクトタキオン,2019/03/25,浦和,晴,馬産地北海道うまいも,4,12,12,見越彬央,ダ1400,良,1:32.2
ホクトタキオン,2019/02/15,浦和,曇,柚子と流鏑馬の毛呂山,4,11,10,高松亮,ダ1400,良,1:32.4
ホクトタキオン,2019/01/11,浦和,晴,水仙特別,8,10,8,和田譲治,ダ1400,良,1:32.7
ホクトタキオン,2018/12/29,大井,晴,藤田ニコルさんがTC,6,15,15,和田譲治,ダ1600,良,1:47.9
ホクトタキオン,2018/09/06,浦和,晴,特選,8,6,9,笹川翼,ダ1500,稍,1:43.4
ホクトタキオン,2018/08/06,浦和,晴,特選,9,7,8,笹川翼,ダ1500,良,1:40.5
ホクトタキオン,2018/07/16,浦和,晴,3歳二,1,7,1,笹川翼,ダ1400,良,1:31.7
ホクトタキオン,2018/07/02,川崎,晴,3歳3　イ,10,11,11,岡部誠,ダ1500,良,1:41.0
ホクトタキオン,2018/06/11,川崎,雨,3歳3,8,10,8,瀧川寿希,ダ1500,不,1:41.6
ホクトタキオン,2018/05/28,浦和,曇,若駒特別,4,9,8,笹川翼,ダ1600,良,1:47.2
ホクトタキオン,2018/05/09,大井,曇,3歳　260万,12,12,13,笹川翼,ダ1600,不,1:48.1
ホクトタキオン,2018/04/23,浦和,曇,3歳二,10,12,8,笹川翼,ダ1400,稍,1:32.1
ホクトタキオン,2018/03/19,浦和,曇,3歳二,10,10,9,笹川翼,ダ1400,稍,1:32.9
ホクトタキオン,2018/02/26,川崎,晴,仁部武士さいたまYE,5,12,12,笹川翼,ダ1400,良,1:35.9
ホクトタキオン,2018/02/13,浦和,晴,ツインサドル特別,1,8,9,瀧川寿希,ダ1400,稍,1:34.3
ホクトタキオン,2017/10/16,浦和,雨,新鋭特別,5,7,8,笹川翼,ダ1500,不,1:41.3
